Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-December-2019,123.50,123.90,122.05,123.30,122.886994811578372474,146480,1472,18000487.00,35549,24.27,1.85,-0.20
3-December-2019,126.80,126.80,123.10,123.55,124.561688374398825657,155321,1505,19347046.00,48622,31.30,3.70,-3.25
2-December-2019,127.95,127.95,125.40,126.60,126.717842167077812734,212009,2194,26865323.00,74285,35.04,2.55,-1.35
29-November-2019,125.70,128.40,125.20,125.95,126.570991997272968698,252289,2548,31932469.00,66906,26.52,3.20,0.25
28-November-2019,125.00,126.40,124.15,125.85,125.062630012669789917,169695,2734,21222503.00,50002,29.47,2.25,0.85
27-November-2019,125.50,126.95,123.45,124.45,124.962981161018167873,333776,3178,41709644.00,113067,33.88,3.50,-1.05
26-November-2019,122.10,126.15,122.10,125.05,124.483499500943540975,632193,7518,78697597.00,123417,19.52,4.05,2.95
25-November-2019,123.00,123.00,121.50,122.10,122.304248078033364733,263272,2819,32199284.00,60772,23.08,1.50,-0.90
22-November-2019,123.90,123.90,121.15,122.35,121.963265425594192717,239148,2019,29167271.00,95503,39.93,2.75,-1.55
21-November-2019,124.80,124.80,121.40,121.90,122.518304036081878108,345880,4600,42376631.00,169737,49.07,3.40,-2.90
20-November-2019,124.60,125.30,123.75,124.40,124.323583123583877174,796188,4800,98984945.00,573321,72.01,1.55,-0.20
19-November-2019,125.00,125.75,123.20,125.20,124.735300660245639775,211285,2336,26354698.00,62714,29.68,2.55,0.20
18-November-2019,125.00,125.25,121.80,124.80,123.923359112330063971,287314,2606,35604916.00,103829,36.14,3.45,-0.20
15-November-2019,123.20,124.60,122.05,124.30,123.512313831097390761,304495,2351,37608882.00,78986,25.94,2.55,1.10
14-November-2019,124.90,124.95,119.60,121.85,121.658621433108214412,514839,5300,62634603.00,168322,32.69,5.35,-3.05
13-November-2019,130.45,130.45,123.30,123.80,125.318427506534576785,495824,4964,62135884.00,247699,49.96,7.15,-6.65
11-November-2019,127.90,130.65,125.05,130.35,128.408434204488064957,433639,3654,55682905.00,106309,24.52,5.60,2.45
8-November-2019,131.90,131.95,125.85,127.05,127.966286506625624084,852448,5967,109084605.00,307284,36.05,6.10,-4.85
7-November-2019,137.80,137.80,131.40,132.15,133.553058726661770923,224685,2647,30007369.00,77216,34.37,6.40,-5.65
6-November-2019,137.40,139.15,136.00,136.55,137.073702836041652190,402956,1685,55234671.00,258836,64.23,3.15,-0.85
5-November-2019,137.30,138.50,135.15,137.40,137.261478396430416436,218737,1982,30024164.00,71451,32.67,3.35,0.10
4-November-2019,137.25,139.70,136.35,137.00,137.572132945558984628,303613,2610,41768688.00,86388,28.45,3.35,-0.25
1-November-2019,138.10,138.75,134.85,135.20,136.850489266479557005,290026,3126,39690200.00,90679,31.27,3.90,-2.90
31-October-2019,134.80,139.60,132.70,137.40,136.911905749293119698,530500,4097,72631766.00,108606,20.47,6.90,2.60
30-October-2019,128.00,134.00,125.65,133.65,130.466403088237765920,535451,4303,69858366.00,133413,24.92,8.35,5.65
29-October-2019,124.00,127.50,123.05,125.85,125.673597168966293225,226631,3498,28481533.00,81765,36.08,4.45,1.85
27-October-2019,125.50,125.50,123.30,123.70,123.725781439302156530,41270,771,5106163.00,30076,72.88,2.20,-1.80
25-October-2019,123.10,124.70,122.40,122.95,123.560344968260961798,245124,4288,30287606.00,91348,37.27,2.30,-0.15
24-October-2019,128.80,129.20,123.30,123.70,124.929314259931803220,270394,2281,33780137.00,118747,43.92,5.90,-5.10
23-October-2019,130.00,130.00,128.15,128.60,128.887035492540079696,86328,737,11126560.00,26292,30.46,1.85,-1.40
